Unnamed: 0,Park Name,Location,Date Established,Area,Visitors (2019),Park Code,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,Observations,T&E,State Status,GRank,SRank
2,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Carnivora,Canidae,93340,180599.0,Active,Canis latrans,"Coyote, Eastern Coyote",Accepted,No,Approved,Present,Non-native,Common,,1.0,SC,,G5,ME: S5
3,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Carnivora,Canidae,93337,180596.0,Active,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Accepted,No,Approved,Unconfirmed,Native,,,,E,,G5,ME: SH
6,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Carnivora,Felidae,93322,180582.0,Active,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Accepted,No,Approved,Present,Non-native,,Vagrant,,RT,,G5,ME: S5
20,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88730,180008.0,Active,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",Accepted,No,Approved,Present,Native,Uncommon,,,"SC,SU",,G5,ME: S4
21,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88737,180014.0,Active,Lasionycteris noctivagans,Silver-haired Bat,Accepted,No,Approved,Present,Native,Unknown,,,SC,ME: SC,G3G4,ME: SU
23,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88740,180017.0,Active,Lasiurus cinereus,Hoary Bat,Accepted,No,Approved,Present,Native,Unknown,,,SU,ME: SC,G3G4,ME: SU
24,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88707,179989.0,Active,Myotis keenii,"Keen's Myotis, Northern Long-eared Bat, Northern Myotis, Say's Bat",Accepted,No,Approved,Present,Native,Common,,,SC,,G3,
26,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88706,179988.0,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Accepted,No,Approved,Present,Native,Common,,1.0,UR,ME: E,G3,ME: S5
55,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,79517,175309.0,Active,Accipiter cooperii,Cooper's Hawk,Accepted,No,Approved,Present,Native,Uncommon,,1.0,SC,,G5,"ME: S3S4B,S3?N"
56,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,79508,175300.0,Active,Accipiter gentilis,"Eastern Goshawk, Goshawk, Northern Goshawk",Accepted,No,Approved,Present,Native,Uncommon,Breeder,2.0,RT,,G5,"ME: S3?B,S3?N"
57,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,79512,175304.0,Active,Accipiter striatus,"Northern Sharp-shinned Hawk, Sharp-shinned Hawk",Accepted,No,Approved,Present,Native,Common,Breeder,3.0,SC,,G5,"ME: S3S4B,S2S3N"
58,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,80429,175407.0,Active,Aquila chrysaetos,"American Golden Eagle, Golden Eagle",Accepted,No,Approved,Present,Native,Occasional,Vagrant,2.0,SC,ME: E,G5,"ME: S1B,S1N"
60,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,80391,175373.0,Active,Buteo lagopus,"American Rough-legged Hawk, Rough-legged Hawk",Accepted,No,Approved,Present,Native,Uncommon,Resident,3.0,SC,,G5,ME: S2S3N
61,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,79572,175359.0,Active,Buteo lineatus,"Northern Red-shouldered Hawk, Red-shouldered Hawk",Accepted,No,Approved,Present,Native,Occasional,Migratory,1.0,SC,,G5,"ME: S3N,S4B"
63,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,79581,175367.0,Active,Buteo swainsoni,Swainson's Hawk,Accepted,No,Approved,Unconfirmed,Unknown,,,,RT,,G5,
64,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,80455,175430.0,Active,Circus cyaneus,"American Marsh Hawk, Marsh Hawk, Northern Harrier",Accepted,No,Approved,Present,Native,Uncommon,Breeder,2.0,SC,ME: SC,,
65,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Accipitridae,80444,175420.0,Active,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Accepted,No,Approved,Present,Native,Common,Breeder,2.0,DM,ME: SC,G5,"ME: S4B,S4N"
66,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Cathartidae,79468,175265.0,Active,Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Accepted,No,Approved,Present,Native,Common,,1.0,SC,,G5,ME: S4B
67,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Accipitriformes,Pandionidae,81838,175590.0,Active,Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Accepted,No,Approved,Present,Native,Common,,2.0,SC,,G5,ME: S5B
68,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,77836,175122.0,Active,Aix sponsa,Wood Duck,Accepted,No,Approved,Present,Native,Common,Breeder,1.0,SU,,G5,ME: S5B
72,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,77790,175081.0,Active,Anas crecca,Green-winged Teal,Accepted,No,Approved,Present,Native,Common,Breeder,1.0,SU,,G5,ME: S5B
75,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,77770,175063.0,Active,Anas platyrhynchos,"Common Mallard, Mallard",Accepted,No,Approved,Present,Unknown,Common,Breeder,,SU,,G5,"ME: S5B,S5N"
79,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,78519,175134.0,Active,Aythya affinis,"Lesser Scaup, Lesser Scaup Duck",Accepted,No,Approved,Unconfirmed,Unknown,,Migratory,,SC,,G5,ME: S1S3N
85,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,76625,174999.0,Active,Branta canadensis,"Canada Goose, Eastern Canada Goose",Accepted,No,Approved,Present,Unknown,Common,,2.0,SU,,G5,"ME: S4N,S5B"
91,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,78533,175147.0,Active,Clangula hyemalis,"Long-tailed Duck, Old Squaw, Oldsquaw",Accepted,No,Approved,Unconfirmed,Native,,Resident,,RT,,G5,ME: S5N
93,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,78535,175149.0,Active,Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck",Accepted,No,Approved,Present,Native,Common,Resident,,RT,ME: T,G4,ME: S2S3N
95,Acadia National Park,Maine,"February 26, 1919",49076.63,3437286,ACAD,Bird,2,Anseriformes,Anatidae,78551,175163.0,Active,Melanitta fusca,"Eastern White-winged Scoter, White-winged Coot, White-winged Scoter",Accepted,No,Approved,Unconfirmed,Native,,Resident,,SC,,,
