Unnamed: 0,Park Name,Location,Date Established,Area,Visitors (2019),Park Code,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,Observations,T&E,State Status,GRank,SRank
7,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Mammal,1,Carnivora,Mephitidae,93300,180562.0,Active,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Accepted,No,Approved,Not In Park,Native,,,,,,G5,ME: S5
25,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88718,179999.0,Active,Myotis leibii,"Eastern Small-footed Myotis, Small-footed Myotis",Accepted,No,Approved,Not In Park,Native,,,1.0,"RT,SC",ME: T,G4,ME: S1S2
27,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Mammal,1,Chiroptera,Vespertilionidae,88749,180025.0,Active,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Accepted,No,Approved,Not In Park,Non-native,,,,SU,ME: SC,,
31,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Mammal,1,Rodentia,Cricetidae,90766,180297.0,Active,Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Accepted,No,Approved,Not In Park,Native,,Breeder,2.0,,,G5,ME: S5
32,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Mammal,1,Rodentia,Cricetidae,91709,180318.0,Active,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Accepted,No,Approved,Not In Park,Native,,,,,,G5,ME: S5
39,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Mammal,1,Rodentia,Muridae,91762,180366.0,Active,Mus musculus,House Mouse,Accepted,No,Approved,Not In Park,Non-native,,,,,,G5,ME: SNA
113,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Alcidae,81971,177037.0,Active,Pinguinus impennis,Great Auk,Accepted,No,Approved,Not In Park,Native,,,,,,GX,ME: SXN
114,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Alcidae,81900,176974.0,Active,Uria aalge,"Atlantic Murre, Common Murre",Accepted,No,Approved,Not In Park,Native,,Resident,1.0,SC,ME: SC,G5,"ME: SXB,S1N"
137,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Laridae,81174,176923.0,Active,Sterna antillarum,"Eastern Least Tern, Least Tern",Accepted,No,Approved,Not In Park,Non-native,,Vagrant,,,ME: E,,
151,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Scolopacidae,79269,176655.0,Active,Calidris bairdii,Baird's Sandpiper,Accepted,No,Approved,Not In Park,Non-native,,Vagrant,2.0,,,G5,ME: SNA
154,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Scolopacidae,266972,554145.0,Active,Calidris himantopus,Stilt Sandpiper,Accepted,No,Approved,Not In Park,Non-native,,Management Priority; Vagrant,1.0,,,G5,ME: SNA
164,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Scolopacidae,79308,176690.0,Active,Limosa haemastica,Hudsonian Godwit,Accepted,No,Approved,Not In Park,Native,,Migratory,,SC,,G4,ME: S2N
168,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Scolopacidae,265861,554376.0,Active,Phalaropus fulicaria,Red Phalarope,Accepted,No,Approved,Not In Park,Non-native,,Vagrant,1.0,,,,
178,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Charadriiformes,Stercorariidae,80358,176792.0,Active,Stercorarius pomarinus,Pomarine Jaeger,Accepted,No,Approved,Not In Park,Non-native,,Vagrant,,SC,,G5,ME: S2S3N
193,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Galliformes,Phasianidae,84339,175915.0,Active,Perdix perdix,"Common Partridge, European Gray Partridge, European Partridge, Gray Partridge",Accepted,No,Approved,Not In Park,Non-native,,,,,,G5,
195,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Galliformes,Phasianidae,83181,175835.0,Active,Tympanuchus cupido cupido,Heath Hen,Accepted,No,In Review,Not In Park,,,,,,,G4TX,
206,Acadia National Park,Maine,"February 26, 1919","49,076.63 acres (198.6 km2)",3437286,ACAD,Bird,2,Gruiformes,Rallidae,86532,176209.0,Active,Rallus longirostris,"Clapper Rail, Northern Clapper Rail",Accepted,No,Approved,Not In Park,Non-native,,Vagrant,1.0,SC,,,
